feature,Correlation_1,Mutual Information_1,Permutation Importance_1,Tree-Based Importance_1,weight_1,Correlation_2,Mutual Information_2,Permutation Importance_2,Tree-Based Importance_2,weight_2,Correlation_4,Mutual Information_4,Permutation Importance_4,Tree-Based Importance_4,weight_4,Correlation_8,Mutual Information_8,Permutation Importance_8,Tree-Based Importance_8,weight_8,weighted_Correlation,weighted_Mutual Information,weighted_Permutation Importance,weighted_Tree-Based Importance
49,0.0354227846519154,0.5287274351303095,0.0053961978177105,0.0085761551678829,0.1,0.0284446571889158,0.4766132886580054,0.0164394298348429,0.0092237058481791,0.15,0.0089751289664598,0.3342939982107671,0.0022829645581718,0.0091426892263398,0.5,0.0080686028705631,0.4264166125676727,0.0023512946841366,0.0084292639426282,0.25,0.014313692244399587,0.3981158890590335,0.0047348402071175355,0.008919831992842105
50,0.0363718047558799,0.5432096845614502,0.0017230934103442,0.0084930245861183,0.1,0.0284423951182421,0.5005211222204053,0.003427626926606,0.0091073311120593,0.15,0.0061734635973626,0.4036112300925776,-0.0002673430542391,0.0091351972355811,0.5,0.0115720692857902,0.4708283184270705,0.1554565470898293,0.0083829340066659,0.25,0.013883288863453157,0.44891183144226227,0.0394169186253631,0.00887873424487775
51,0.0349896826986752,0.5095635443790556,-0.0066470712668249,0.0083972195069532,0.1,-0.003608962516152,0.0387557514746985,0.0018259995989829,0.0084243360321922,0.15,0.0196697834344648,0.4236247305933869,0.0071938988158309,0.0091198259490375,0.5,0.0091611198363359,0.4156432685673312,0.0040067138262019,0.0083005413907177,0.25,0.015082795568761095,0.3724928995976366,0.00420782067763087,0.008738420677722325
52,-0.0058426840434224,0.355720457658963,0.0018274910885161,0.0082761982430107,0.1,0.0284816617243892,0.496587578018727,0.0032578613178144,0.007669159702032,0.15,0.006099574356281,0.2419623945931253,0.0008766539970173,0.0090287891308168,0.5,-0.0070264299222483,0.0196154491242017,0.0006448135194257,0.0082732102252854,0.25,0.004981160551894565,0.23594524204631842,0.0012709586848888448,0.00856069090133562
53,-0.0058426840434224,0.355720457658963,0.0072157168462273,0.0082530927515216,0.1,0.0057309799349175,0.4944993172183878,0.0024872288511455,0.0073727783602264,0.15,-0.0046654234738629,0.3294431480247235,-0.0006556567682032,0.0089716427183343,0.5,0.0125548710997931,0.4615167212787652,0.042974511444351,0.008150781470144,0.25,0.00108138462391221,0.38984769768070754,0.011510455489280706,0.008454742755889269
54,-0.0021793615041192,0.3801714873353568,0.0010113755681676,0.0076662936142912,0.1,0.0280541090982699,0.4940866575760356,-0.0028766692052573,0.0070805730222322,0.15,0.0088890228937151,0.3386255106574509,0.0036909595495704,0.0086507423446639,0.5,0.0080686028705631,0.4264399026702667,0.0086134265140407,0.0081492373297376,0.25,0.01045184237882689,0.38805287836623314,0.00366847357932354,0.0081913958195303
55,0.0351022309234471,0.5159409843851357,-0.0071523035538183,0.0074412464766186,0.1,0.0281585397892385,0.4912162198830261,0.0016944754912023,0.0070658556021334,0.15,0.0036503656360836,0.4281076813455309,0.0061693631635262,0.008616586165749,0.5,-0.0195225954002912,0.3475919013070321,0.0070396470826666,0.0081334977147302,0.25,0.004678538028699485,0.426228347420491,0.004383534320728265,0.00814567049953892
56,0.034782638757651,0.4924680929183855,-0.0010708849612818,0.0070140114665353,0.1,-0.003608962516152,0.0388099269929647,-0.0029848555817065,0.0070420249700415,0.15,-0.007989767538089,0.0547359033513714,0.0001017424539107,0.0085113802355323,0.5,-0.0195225954002912,0.3475917962078654,0.0050247243112039,0.007949821827184,0.25,-0.005938613120775,0.1693341990684353,0.00075223547137217,0.008000850466721905
57,-0.0220174551841128,0.4108914159986381,0.0039832016015133,0.0067102792556765,0.1,0.0043802587247212,0.4766566387614075,-0.0015772786745216,0.0070155980930063,0.15,0.0186681817902292,0.4291215480888919,0.1638371375962825,0.0084409985769592,0.5,0.0125554215364157,0.4699723072749977,0.0070390366576847,0.0076177415711197,0.25,0.010928239569515425,0.44464148827727035,0.0838400563215355,0.00784830232077812
58,-0.0220174551841128,0.4108924606425401,4.730922797338e-05,0.0064167788976225,0.1,0.0284195845145901,0.4961571803318794,-0.0020876926146197,0.0069052447326812,0.15,-0.0029275402902328,0.0096201747158044,0.0039765938981903,0.0081988187931049,0.5,0.0126136969064846,0.4694337607959973,0.0114382885758565,0.0072527326941808,0.25,0.003750846240281985,0.23768135067093743,0.004539446123663658,0.00759005716976208
